year,age,life_expectancy
1950,0,37.4772
1950,1,44.4329
1950,2,46.9969
1950,3,48.3996
1950,4,49.0513
1950,5,49.1896
1950,6,49.0064
1950,7,48.6203
1950,8,48.0979
1950,9,47.4869
1950,10,46.8182
1950,11,46.1118
1950,12,45.381
1950,13,44.6371
1950,14,43.8866
1950,15,43.1355
1950,16,42.3871
1950,17,41.6467
1950,18,40.9164
1950,19,40.1979
1950,20,39.4938
1950,21,38.8042
1950,22,38.1274
1950,23,37.4597
1950,24,36.797
1950,25,36.1361
1950,26,35.4745
1950,27,34.8108
1950,28,34.1449
1950,29,33.478
1950,30,32.8094
1950,31,32.1422
1950,32,31.4744
1950,33,30.8086
1950,34,30.1436
1950,35,29.4793
1950,36,28.816
1950,37,28.1538
1950,38,27.4922
1950,39,26.8326
1950,40,26.1737
1950,41,25.5173
1950,42,24.859
1950,43,24.2023
1950,44,23.5429
1950,45,22.8818
1950,46,22.2195
1950,47,21.5554
1950,48,20.8913
1950,49,20.2302
1950,50,19.5723
1950,51,18.9209
1950,52,18.2723
1950,53,17.6308
1950,54,16.9933
1950,55,16.361
1950,56,15.7333
1950,57,15.1116
1950,58,14.4966
1950,59,13.8922
1950,60,13.299
1950,61,12.7217
1950,62,12.1549
1950,63,11.6043
1950,64,11.0672
1950,65,10.5435
1950,66,10.0337
1950,67,9.5363
1950,68,9.0538
1950,69,8.5888
1950,70,8.1414
1950,71,7.7182
1950,72,7.3098
1950,73,6.924
1950,74,6.5549
1950,75,6.2021
1950,76,5.8649
1950,77,5.5405
1950,78,5.2295
1950,79,4.9357
1950,80,4.6571
1950,81,4.3981
1950,82,4.1531
1950,83,3.9305
1950,84,3.7247
1950,85,3.5356
1950,86,3.3581
1950,87,3.1892
1950,88,3.0239
1950,89,2.8636
1950,90,2.7087
1950,91,2.5693
1950,92,2.4363
1950,93,2.3241
1950,94,2.2287
1950,95,2.1416
1950,96,2.0434
1950,97,1.9568
1950,98,1.8822
1950,99,1.8139
1950,100,1.7529
1951,0,37.7276
1951,1,44.6568
1951,2,47.1846
1951,3,48.5509
1951,4,49.1826
1951,5,49.3108
1951,6,49.1213
1951,7,48.7309
1951,8,48.2056
1951,9,47.5923
1951,10,46.9215
1951,11,46.2134
1951,12,45.4809
1951,13,44.7356
1951,14,43.9838
1951,15,43.2314
1951,16,42.4818
1951,17,41.7402
1951,18,41.0086
1951,19,40.2888
1951,20,39.5833
1951,21,38.8922
1951,22,38.2138
1951,23,37.5444
1951,24,36.8799
1951,25,36.2172
1951,26,35.5538
1951,27,34.8884
1951,28,34.2208
1951,29,33.5522
1951,30,32.8821
1951,31,32.2133
1951,32,31.5439
1951,33,30.8764
1951,34,30.2099
1951,35,29.544
1951,36,28.8791
1951,37,28.2152
1951,38,27.5521
1951,39,26.8909
1951,40,26.2305
1951,41,25.5726
1951,42,24.9128
1951,43,24.2546
1951,44,23.5939
1951,45,22.9316
1951,46,22.2681
1951,47,21.6028
1951,48,20.9377
1951,49,20.2756
1951,50,19.6167
